10MAINBKGRP20260610IE12BOFI90000098765432EUR
20TX-2027-000120260610PMT-REF-001                   000000101000CRINV-2027-9001         Standard Corp 1               
20TX-2027-000220260610PMT-REF-002                   000000102000CRINV-2027-9002         Standard Corp 2               
20TX-2027-000320260610PMT-REF-003                   000000103000CRINV-2027-9003         Standard Corp 3               
20TX-2027-000420260610PMT-REF-004                   000000104000CRINV-2027-9004         Standard Corp 4               
20TX-2027-000520260610PMT-REF-005                   000000105000CRINV-2027-9005         Standard Corp 5               
20TX-2027-000620260610PMT-REF-006                   000000106000CRINV-2027-9006         Standard Corp 6               
20TX-2027-000720260610PMT-REF-007                   000000107000CRINV-2027-9007         Standard Corp 7               
20TX-2027-000820260610PMT-REF-008                   000000108000CRINV-2027-9008         Standard Corp 8               
20TX-2027-000920260610PMT-REF-009                   000000109000CRINV-2027-9009         Standard Corp 9               
20TX-2027-001020260610PMT-REF-010                   000000110000CRINV-2027-9010         Standard Corp 10              
20TX-2027-001120260610PMT-REF-011                   000000111000CRINV-2027-9011         Standard Corp 11              
20TX-2027-001220260610PMT-REF-012                   000000112000CRINV-2027-9012         Standard Corp 12              
20TX-2027-001320260610PMT-REF-013                   000000113000CRINV-2027-9013         Standard Corp 13              
20TX-2027-001420260610PMT-REF-014                   000000114000CRINV-2027-9014         Standard Corp 14              
20TX-2027-001520260610PMT-REF-015                   000000115000CRINV-2027-9015         Standard Corp 15              
20TX-2027-001620260610PMT-REF-016                   000000116000CRINV-2027-9016         Standard Corp 16              
20TX-2027-001720260610PMT-REF-017                   000000117000CRINV-2027-9017         Standard Corp 17              
20TX-2027-001820260610PMT-REF-018                   000000118000CRINV-2027-9018         Standard Corp 18              
20TX-2027-001920260610PMT-REF-019                   000000119000CRINV-2027-9019         Standard Corp 19              
20TX-2027-002020260610PMT-REF-020                   000000120000CRINV-2027-9020         Standard Corp 20              
20TX-2027-002120260610PMT-REF-021                   000000121000CRINV-2027-9021         Standard Corp 21              
20TX-2027-002220260610PMT-REF-022                   000000122000CRINV-2027-9022         Standard Corp 22              
20TX-2027-002320260610PMT-REF-023                   000000123000CRINV-2027-9023         Standard Corp 23              
20TX-2027-002420260610PMT-REF-024                   000000124000CRINV-2027-9024         Standard Corp 24              
20TX-2027-002520260610PMT-REF-025                   000000125000CRINV-2027-9025         Standard Corp 25              
20TX-2027-002620260610PMT-REF-026                   000000126000CRINV-2027-9026         Standard Corp 26              
