10MAINBKGRP20260607IE12BOFI90000012345678EUR
20TX-2026-000120260607PMT-REF-20001                 000000001001CRINV-2026-8001            Party_1                       
20TX-2026-000220260607PMT-REF-20002                 000000001002CRINV-2026-8002            Party_2                       
20TX-2026-000320260607PMT-REF-20003                 000000001003CRINV-2026-8003            Party_3                       
20TX-2026-000420260607PMT-REF-20004                 000000001004CRINV-2026-8004            Party_4                       
20TX-2026-000520260607PMT-REF-20005                 000000001005CRINV-2026-8005            Party_5                       
20TX-2026-000620260607PMT-REF-20006                 000000001006CRINV-2026-8006            Party_6                       
20TX-2026-000720260607PMT-REF-20007                 000000001007CRINV-2026-8007            Party_7                       
20TX-2026-000820260607PMT-REF-20008                 000000001008CRINV-2026-8008            Party_8                       
20TX-2026-000920260607PMT-REF-20009                 000000001009CRINV-2026-8009            Party_9                       
20TX-2026-001020260607PMT-REF-20010                 000000001010CRINV-2026-8010            Party_10                      
20TX-2026-001120260607PMT-REF-20011                 000000001011CRINV-2026-8011            Party_11                      
20TX-2026-001220260607PMT-REF-20012                 000000001012CRINV-2026-8012            Party_12                      
20TX-2026-001320260607PMT-REF-20013                 000000001013CRINV-2026-8013            Party_13                      
20TX-2026-001420260607PMT-REF-20014                 000000001014CRINV-2026-8014            Party_14                      
20TX-2026-001520260607PMT-REF-20015                 000000001015CRINV-2026-8015            Party_15                      
20TX-2026-001620260607PMT-REF-20016                 000000001016CRINV-2026-8016            Party_16                      
20TX-2026-001720260607PMT-REF-20017                 000000001017CRINV-2026-8017            Party_17                      
20TX-2026-001820260607PMT-REF-20018                 000000001018CRINV-2026-8018            Party_18                      
20TX-2026-001920260607PMT-REF-20019                 000000001019CRINV-2026-8019            Party_19                      
20TX-2026-002020260607PMT-REF-20020                 000000001020CRINV-2026-8020            Party_20                      
20TX-2026-002120260607PMT-REF-20021                 000000001021CRINV-2026-8021            Party_21                      
20TX-2026-002220260607PMT-REF-20022                 000000001022CRINV-2026-8022            Party_22                      
20TX-2026-002320260607PMT-REF-20023                 000000001023CRINV-2026-8023            Party_23                      
20TX-2026-002420260607PMT-REF-20024                 000000001024CRINV-2026-8024            Party_24                      
20TX-2026-002520260607PMT-REF-20025                 000000001025CRINV-2026-8025            Party_25                      
20TX-2026-002620260607PMT-REF-20026                 000000001026CRINV-2026-8026            Party_26                      
20TX-2026-002720260607PMT-REF-20027                 000000001027CRINV-2026-8027            Party_27                      
20TX-2026-002820260607PMT-REF-20028                 000000001028CRINV-2026-8028            Party_28                      
20TX-2026-002920260607PMT-REF-20029                 000000001029CRINV-2026-8029            Party_29                      
20TX-2026-003020260607PMT-REF-20030                 000000001030CRINV-2026-8030            Party_30                      
20TX-2026-003120260607PMT-REF-20031                 000000001031CRINV-2026-8031            Party_31                      
20TX-2026-003220260607PMT-REF-20032                 000000001032CRINV-2026-8032            Party_32                      
20TX-2026-003320260607PMT-REF-20033                 000000001033CRINV-2026-8033            Party_33                      
20TX-2026-003420260607PMT-REF-20034                 000000001034CRINV-2026-8034            Party_34                      
20TX-2026-003520260607PMT-REF-20035                 000000001035CRINV-2026-8035            Party_35                      
20TX-2026-003620260607PMT-REF-20036                 000000001036CRINV-2026-8036            Party_36                      
20TX-2026-003720260607PMT-REF-20037                 000000001037CRINV-2026-8037            Party_37                      
20TX-2026-003820260607PMT-REF-20038                 000000001038CRINV-2026-8038            Party_38                      
20TX-2026-003920260607PMT-REF-20039                 000000001039CRINV-2026-8039            Party_39                      
20TX-2026-004020260607PMT-REF-20040                 000000001040CRINV-2026-8040            Party_40                      
20TX-2026-004120260607PMT-REF-20041                 000000001041CRINV-2026-8041            Party_41                      
20TX-2026-004220260607PMT-REF-20042                 000000001042CRINV-2026-8042            Party_42                      
20TX-2026-004320260607PMT-REF-20043                 000000001043CRINV-2026-8043            Party_43                      
20TX-2026-004420260607PMT-REF-20044                 000000001044CRINV-2026-8044            Party_44                      
20TX-2026-004520260607PMT-REF-20045                 000000001045CRINV-2026-8045            Party_45                      
20TX-2026-004620260607PMT-REF-20046                 000000001046CRINV-2026-8046            Party_46                      
20TX-2026-004720260607PMT-REF-20047                 000000001047CRINV-2026-8047            Party_47                      
20TX-2026-004820260607PMT-REF-20048                 000000001048CRINV-2026-8048            Party_48                      
20TX-2026-004920260607PMT-REF-20049                 000000001049CRINV-2026-8049            Party_49                      
20TX-2026-005020260607PMT-REF-20050                 000000001050CRINV-2026-8050            Party_50                      
20TX-2026-005120260607PMT-REF-20051                 000000001051CRINV-2026-8051            Party_51                      
20TX-2026-005220260607PMT-REF-20052                 000000001052CRINV-2026-8052            Party_52                      
20TX-2026-005320260607PMT-REF-20053                 000000001053CRINV-2026-8053            Party_53                      
20TX-2026-005420260607PMT-REF-20054                 000000001054CRINV-2026-8054            Party_54                      
20TX-2026-005520260607PMT-REF-20055                 000000001055CRINV-2026-8055            Party_55                      
20TX-2026-005620260607PMT-REF-20056                 000000001056CRINV-2026-8056            Party_56                      
20TX-2026-005720260607PMT-REF-20057                 000000001057CRINV-2026-8057            Party_57                      
20TX-2026-005820260607PMT-REF-20058                 000000001058CRINV-2026-8058            Party_58                      
20TX-2026-005920260607PMT-REF-20059                 000000001059CRINV-2026-8059            Party_59                      
20TX-2026-006020260607PMT-REF-20060                 000000001060CRINV-2026-8060            Party_60                      
20TX-2026-006120260607PMT-REF-20061                 000000001061CRINV-2026-8061            Party_61                      
20TX-2026-006220260607PMT-REF-20062                 000000001062CRINV-2026-8062            Party_62                      
20TX-2026-006320260607PMT-REF-20063                 000000001063CRINV-2026-8063            Party_63                      
20TX-2026-006420260607PMT-REF-20064                 000000001064CRINV-2026-8064            Party_64                      
20TX-2026-006520260607PMT-REF-20065                 000000001065CRINV-2026-8065            Party_65                      
20TX-2026-006620260607PMT-REF-20066                 000000001066CRINV-2026-8066            Party_66                      
20TX-2026-006720260607PMT-REF-20067                 000000001067CRINV-2026-8067            Party_67                      
20TX-2026-006820260607PMT-REF-20068                 000000001068CRINV-2026-8068            Party_68                      
20TX-2026-006920260607PMT-REF-20069                 000000001069CRINV-2026-8069            Party_69                      
20TX-2026-007020260607PMT-REF-20070                 000000001070CRINV-2026-8070            Party_70                      
20TX-2026-007120260607PMT-REF-20071                 000000001071CRINV-2026-8071            Party_71                      
20TX-2026-007220260607PMT-REF-20072                 000000001072CRINV-2026-8072            Party_72                      
20TX-2026-007320260607PMT-REF-20073                 000000001073CRINV-2026-8073            Party_73                      
20TX-2026-007420260607PMT-REF-20074                 000000001074CRINV-2026-8074            Party_74                      
20TX-2026-007520260607PMT-REF-20075                 000000001075CRINV-2026-8075            Party_75                      
20TX-2026-007620260607PMT-REF-20076                 000000001076CRINV-2026-8076            Party_76                      
20TX-2026-007720260607PMT-REF-20077                 000000001077CRINV-2026-8077            Party_77                      
20TX-2026-007820260607PMT-REF-20078                 000000001078CRINV-2026-8078            Party_78                      
20TX-2026-007920260607PMT-REF-20079                 000000001079CRINV-2026-8079            Party_79                      
20TX-2026-008020260607PMT-REF-20080                 000000001080CRINV-2026-8080            Party_80                      
20TX-2026-008120260607PMT-REF-20081                 000000001081CRINV-2026-8081            Party_81                      
20TX-2026-008220260607PMT-REF-20082                 000000001082CRINV-2026-8082            Party_82                      
20TX-2026-008320260607PMT-REF-20083                 000000001083CRINV-2026-8083            Party_83                      
20TX-2026-008420260607PMT-REF-20084                 000000001084CRINV-2026-8084            Party_84                      
20TX-2026-008520260607PMT-REF-20085                 000000001085CRINV-2026-8085            Party_85                      
20TX-2026-008620260607PMT-REF-20086                 000000001086CRINV-2026-8086            Party_86                      
20TX-2026-008720260607PMT-REF-20087                 000000001087CRINV-2026-8087            Party_87                      
20TX-2026-008820260607PMT-REF-20088                 000000001088CRINV-2026-8088            Party_88                      
20TX-2026-008920260607PMT-REF-20089                 000000001089CRINV-2026-8089            Party_89                      
20TX-2026-009020260607PMT-REF-20090                 000000001090CRINV-2026-8090            Party_90                      
20TX-2026-009120260607PMT-REF-20091                 000000001091CRINV-2026-8091            Party_91                      
20TX-2026-009220260607PMT-REF-20092                 000000001092CRINV-2026-8092            Party_92                      
20TX-2026-009320260607PMT-REF-20093                 000000001093CRINV-2026-8093            Party_93                      
20TX-2026-009420260607PMT-REF-20094                 000000001094CRINV-2026-8094            Party_94                      
20TX-2026-009520260607PMT-REF-20095                 000000001095CRINV-2026-8095            Party_95                      
20TX-2026-009620260607PMT-REF-20096                 000000001096CRINV-2026-8096            Party_96                      
20TX-2026-009720260607PMT-REF-20097                 000000001097CRINV-2026-8097            Party_97                      
20TX-2026-009820260607PMT-REF-20098                 000000001098CRINV-2026-8098            Party_98                      
20TX-2026-009920260607PMT-REF-20099                 000000001099CRINV-2026-8099            Party_99                      
20TX-2026-010020260607PMT-REF-20100                 000000001100CRINV-2026-8100            Party_100                     
20TX-2026-010120260607PMT-REF-20101                 000000001101CRINV-2026-8101            Party_101                     
20TX-2026-010220260607PMT-REF-20102                 000000001102CRINV-2026-8102            Party_102                     
20TX-2026-010320260607PMT-REF-20103                 000000001103CRINV-2026-8103            Party_103                     
20TX-2026-010420260607PMT-REF-20104                 000000001104CRINV-2026-8104            Party_104                     
20TX-2026-010520260607PMT-REF-20105                 000000001105CRINV-2026-8105            Party_105                     
20TX-2026-010620260607PMT-REF-20106                 000000001106CRINV-2026-8106            Party_106                     
20TX-2026-010720260607PMT-REF-20107                 000000001107CRINV-2026-8107            Party_107                     
20TX-2026-010820260607PMT-REF-20108                 000000001108CRINV-2026-8108            Party_108                     
20TX-2026-010920260607PMT-REF-20109                 000000001109CRINV-2026-8109            Party_109                     
20TX-2026-011020260607PMT-REF-20110                 000000001110CRINV-2026-8110            Party_110                     
20TX-2026-011120260607PMT-REF-20111                 000000001111CRINV-2026-8111            Party_111                     
20TX-2026-011220260607PMT-REF-20112                 000000001112CRINV-2026-8112            Party_112                     
20TX-2026-011320260607PMT-REF-20113                 000000001113CRINV-2026-8113            Party_113                     
20TX-2026-011420260607PMT-REF-20114                 000000001114CRINV-2026-8114            Party_114                     
20TX-2026-011520260607PMT-REF-20115                 000000001115CRINV-2026-8115            Party_115                     
20TX-2026-011620260607PMT-REF-20116                 000000001116CRINV-2026-8116            Party_116                     
20TX-2026-011720260607PMT-REF-20117                 000000001117CRINV-2026-8117            Party_117                     
20TX-2026-011820260607PMT-REF-20118                 000000001118CRINV-2026-8118            Party_118                     
20TX-2026-011920260607PMT-REF-20119                 000000001119CRINV-2026-8119            Party_119                     
